level,descriptor,target,removed_group,n,remaining_n,full_rho,group_loo_rho,absolute_shift,sign_flip
task,mean_drift,delta_auc_roc,SWAT,23,22,0.5899209486166007,0.5471485036702428,0.0427724449463579,False
task,variance_drift,delta_auc_pr,PSM,23,22,0.3804347826086957,0.3562958780350085,0.02413890457368717,False
task,variance_drift,delta_auc_pr,Genesis,23,22,0.3804347826086957,0.29192546583850937,0.08850931677018631,False
task,variance_drift,delta_auc_pr,GECCO,23,22,0.3804347826086957,0.3890457368718239,0.008610954263128245,False
task,variance_drift,delta_auc_pr,CalIt2,23,22,0.3804347826086957,0.4048560135516658,0.024421230942970107,False
task,variance_drift,delta_auc_pr,NYC,23,22,0.3804347826086957,0.339356295878035,0.04107848673066067,False
task,variance_drift,delta_auc_pr,MSL,23,22,0.3804347826086957,0.4195369847543761,0.03910220214568044,False
task,variance_drift,delta_auc_pr,ASD,23,11,0.3804347826086957,-0.009090909090909092,0.38952569169960477,True
task,variance_drift,delta_auc_pr,CICIDS,23,22,0.3804347826086957,0.383399209486166,0.0029644268774703386,False
task,variance_drift,delta_auc_pr,Creditcard,23,22,0.3804347826086957,0.4195369847543761,0.03910220214568044,False
task,variance_drift,delta_auc_pr,SMAP,23,22,0.3804347826086957,0.3574251835121401,0.02300959909655559,False
task,variance_drift,delta_auc_pr,SMD,23,22,0.3804347826086957,0.39130434782608703,0.010869565217391353,False
task,variance_drift,delta_auc_pr,SWAT,23,22,0.3804347826086957,0.3608130999435348,0.0196216826651609,False
task,variance_drift,delta_auc_roc,PSM,23,22,0.4140316205533597,0.3890457368718239,0.02498588368153576,False
task,variance_drift,delta_auc_roc,Genesis,23,22,0.4140316205533597,0.3721061547148504,0.04192546583850926,False
task,variance_drift,delta_auc_roc,GECCO,23,22,0.4140316205533597,0.3901750423489555,0.023856578204404177,False
task,variance_drift,delta_auc_roc,CalIt2,23,22,0.4140316205533597,0.4522868435911915,0.0382552230378318,False
task,variance_drift,delta_auc_roc,NYC,23,22,0.4140316205533597,0.3890457368718239,0.02498588368153576,False
