pair_id,role,is_pair,designated_target,scored_target,phase_bin,source_terminal_index,donor_terminal_index,relation_value,relation_velocity,target,mu_temporal,mu_cross,temporal_residual,cross_residual,disagreement,temporal_residual_tail,temporal_residual_reliability_feature,temporal_residual_reliability_stratum,cross_residual_tail,cross_residual_reliability_feature,cross_residual_reliability_stratum,disagreement_tail,disagreement_reliability_feature,disagreement_reliability_stratum,temporal_residual_tail_exceeds,cross_residual_tail_exceeds,disagreement_tail_exceeds
target_2_phase_3_pair_02,target_omission_break,True,2,2,3,1063,99,-0.7298640608787537,0.022370506078004837,3.205465078353882,1.5690144300460815,-1.0703191757202148,2.67797072434702,18.28233098738798,6.96608188252732,3.862832761237374,0.6989379939148094,1.0,5.823045895483019,0.6576476480354481,1.0,5.62040086571715,0.9596951330001703,1.0,True,True,True
target_2_phase_3_pair_02,target_spike,True,2,2,3,1063,99,-0.7298640608787537,0.022370506078004837,-4.045129299163818,-0.6814361810684204,-1.0703191757202148,11.31443139272234,8.849495270542548,0.15122998352934758,4.663439094112067,0.7692029118867907,2.0,5.823045895483019,0.6576476480354481,1.0,0.6859269325864582,1.0120145990160787,1.0,True,True,False
target_2_phase_3_pair_03,coherent_control,True,2,2,3,87,274,-0.973876953125,0.007431053556501865,-0.135369211435318,-0.4216720759868622,-1.3580410480499268,0.08196933025041986,1.4949264200505405,0.8767868518424402,0.3867729750960119,0.7669898374042576,2.0,3.8771357464277054,0.7120569793231009,1.0,1.6739764335716716,1.0465651209954154,2.0,False,True,False
target_2_phase_3_pair_03,unsupported_target_break,True,2,2,3,87,274,-0.973876953125,0.007431053556501865,-0.135369211435318,-0.4216720759868622,1.9655659198760986,0.08196933025041986,4.413928425978519,5.698905248891806,0.3867729750960119,0.7669898374042576,2.0,5.003946305945459,0.744651292062158,2.0,4.718498871295094,1.069008399149067,2.0,False,True,True
target_2_phase_3_pair_03,target_omission_break,True,2,2,3,87,274,-0.973876953125,0.007431053556501865,3.1358695030212402,1.788787841796875,-1.3580410480499268,1.8146290020069955,20.19523204102876,9.902532061974455,2.987364023883474,0.6664886853450586,1.0,5.823045895483019,0.7120569793231009,1.0,5.62040086571715,0.975311391041714,1.0,False,True,True
target_2_phase_3_pair_03,target_spike,True,2,2,3,87,274,-0.973876953125,0.007431053556501865,-3.1664206981658936,-0.4216720759868622,-1.3580410480499268,7.533644998953691,3.2702369589535465,0.8767868518424402,4.663439094112067,0.7669898374042576,2.0,5.823045895483019,0.7120569793231009,1.0,1.6739764335716716,1.0465651209954154,2.0,True,True,False
target_2_phase_3_drift_00,normal_relation_drift_control,False,2,2,3,704,-1,-4.777360266687873e-15,0.03272492438554764,-0.9900563955307007,-0.8725677728652954,-1.4915401935577393,0.013803576455813982,0.2514859996836236,0.3831268575778637,0.17896584894698225,0.703832533339003,1.0,1.3922290966397053,0.6630196064147172,1.0,1.2259517110447111,0.9669411737415701,1.0,False,False,False
target_2_phase_3_drift_01,normal_relation_drift_control,False,2,2,3,1471,-1,-0.03271908313035965,0.03270740061998367,-0.291839599609375,-0.4213707447052002,-0.12789013981819153,0.01677831754983572,0.026879425365820886,0.0861308654448445,0.21999724562484477,0.6902826330239691,1.0,0.3341081693263324,0.6529208335288157,1.0,0.496436886313891,0.9501556337308468,1.0,False,False,False
target_2_phase_3_drift_02,normal_relation_drift_control,False,2,2,3,1279,-1,-0.03271908313035965,0.03270740061998367,-0.811675488948822,-0.8282954096794128,-0.859529972076416,0.0002762217650911225,0.0022900515554091783,0.0009755978881322847,0.021232220105774167,0.7385722522159399,1.0,0.06414412160573815,0.6786679804671077,1.0,0.048246833539385435,1.0030349941326218,1.0,False,False,False
target_2_phase_3_drift_03,normal_relation_drift_control,False,2,2,3,127,-1,-0.03271908313035965,0.03270740061998367,-1.0175867080688477,-0.5908321142196655,-0.7503190040588379,0.1821194833713804,0.07143202560678219,0.0254360680305723,0.5203043677205345,0.9183455952226567,2.0,0.48215772889641884,0.7568608863417102,2.0,0.18589937814183854,1.19004076969607,2.0,False,False,False
